date,ticker,side,shares,price,value,cost
2026-07-13,600549,buy,3.3818,59.14,200.0,0.4
2026-07-13,600563,buy,1.487,134.5,200.0,0.4
2026-07-13,600578,buy,35.5872,5.62,200.0,0.4
2026-07-13,600580,buy,6.402,31.24,200.0,0.4
2026-07-13,600584,buy,2.0192,99.05,200.0,0.4
2026-07-13,600601,buy,16.4204,12.18,200.0,0.4
2026-07-13,600641,buy,5.0787,39.38,200.0,0.4
2026-07-13,600667,buy,8.7989,22.73,200.0,0.4
2026-07-13,600673,buy,5.2288,38.25,200.0,0.4
2026-07-13,600690,buy,9.8765,20.25,200.0,0.4
2026-07-13,600699,buy,9.9701,20.06,200.0,0.4
2026-07-13,600703,buy,12.7146,15.73,200.0,0.4
2026-07-13,600707,buy,18.5874,10.76,200.0,0.4
2026-07-13,600711,buy,20.0602,9.97,200.0,0.4
2026-07-13,600726,buy,34.7222,5.76,200.0,0.4
2026-07-13,600795,buy,42.8266,4.67,200.0,0.4
2026-07-13,600809,buy,1.8255,109.56,200.0,0.4
2026-07-13,600863,buy,42.1053,4.75,200.0,0.4
2026-07-13,600869,buy,9.7895,20.43,200.0,0.4
2026-07-13,600875,buy,7.4349,26.9,200.0,0.4
2026-07-13,600879,buy,9.3633,21.36,200.0,0.4
2026-07-13,600884,buy,16.6528,12.01,200.0,0.4
2026-07-13,600887,buy,7.9904,25.03,200.0,0.4
2026-07-13,600893,buy,6.0368,33.13,200.0,0.4
2026-07-13,600895,buy,5.8875,33.97,200.0,0.4
2026-07-13,600900,buy,7.0373,28.42,200.0,0.4
2026-07-13,600909,buy,22.5734,8.86,200.0,0.4
2026-07-13,600919,buy,17.8253,11.22,200.0,0.4
2026-07-13,600930,buy,43.6681,4.58,200.0,0.4
2026-07-13,600938,buy,6.9396,28.82,200.0,0.4
2026-07-13,600941,buy,2.1875,91.43,200.0,0.4
2026-07-13,600961,buy,7.8585,25.45,200.0,0.4
2026-07-13,600988,buy,6.1862,32.33,200.0,0.4
