date,strategy_net,strategy_gross,benchmark_net,benchmark_gross
2026-03-13,0.9846455603219407,0.999841318916174,0.9703032960016178,0.9753535749923806
2026-03-16,0.9740026794724397,0.9890373420770171,0.9554556765071466,0.9604311656033779
2026-03-17,0.9765740947617527,0.9916264558372839,0.9556915862187012,0.9606621123614288
2026-03-18,0.9490821424781994,0.9653511145149561,0.9331306532080875,0.9383628967840745
2026-03-19,0.9483436615164039,0.9645989181916848,0.9276323781816068,0.9328364477714427
2026-03-20,0.9568492330482173,0.9732529373660951,0.9253929572284213,0.9305855686481476
2026-03-23,0.9186098058617705,0.9343754007918601,0.8848051777936616,0.8897716598958804
2026-03-24,0.9145223923828881,0.9302162759329354,0.8843440838654321,0.8893079574171193
2026-03-25,0.9289164873120375,0.9468617642805226,0.8977987121549984,0.9031794650997427
2026-03-26,0.9368934068547857,0.954983707525007,0.9068716214438536,0.9123071386617577
2026-03-27,0.901059807009799,0.9184583960599363,0.8749931137077612,0.8802379471034024
2026-03-30,0.917203109656628,0.9349266978816947,0.89042382169737,0.8957616841100439
2026-03-31,0.9250260022899226,0.9428949644405984,0.8996329753220771,0.9050215453038356
2026-04-01,0.9209240603526927,0.9404998399877256,0.9018973708488023,0.9077274642811908
2026-04-02,0.9168872561792232,0.9363627121542645,0.8961790904761044,0.9019717198063252
2026-04-03,0.9065606509277779,0.9258090498078309,0.8875288187960388,0.893263450900833
2026-04-07,0.8947046418017158,0.9137053559806365,0.8754762211012941,0.8811299564269153
2026-04-08,0.9231664017310448,0.9427565386207013,0.899516930699107,0.9053228710725517
2026-04-09,0.9359820934624344,0.9575130280215578,0.9146295325007192,0.9209308982016247
2026-04-10,0.9545536287607814,0.9764921662467713,0.9305106798797281,0.9369185348153423
2026-04-13,0.9519366100658754,0.9738192530086115,0.9246032018591649,0.9309711494673251
2026-04-14,0.9682884799662782,0.9905370228275386,0.9492124952537722,0.9557528240955694
2026-04-15,0.975678849721593,0.9980968212453318,0.9606246872312766,0.9672442577176468
2026-04-16,0.9700841466830742,0.9946006250750826,0.9482639301449156,0.9551795724532728
2026-04-17,0.9904480292383724,1.0154936339547578,0.9635727813142899,0.9706031649313253
2026-04-20,0.9981945643878083,1.0234455826963542,0.9725963545703185,0.979689557464863
2026-04-21,1.0062043282503017,1.0316469311185517,0.9804914404484989,0.987643502750419
