signal_date,date,code,side,shares,price,notional,cost,status,portfolio
2026-01-12,2026-01-13,600276,buy,5.94781504194154e-06,3355.8676084527,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600343,buy,0.0001747503015560037,114.22057451456,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600391,buy,0.00022594774148285965,88.339364267704,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600392,buy,0.00010900858229912627,183.10558140778,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600501,buy,0.00014123217842994642,141.32813118237,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600577,buy,6.439731909609942e-05,309.95203093056,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,600592,buy,0.0002641806432337647,75.554664399304,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,603063,buy,0.0005795088074408913,34.443100059968,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,603127,buy,6.28025393242414e-05,317.82281505001,0.01996007984031935,3.9920159680638704e-05,filled,strategy
2026-01-12,2026-01-13,603179,buy,9.068427890577673e-05,220.10518340294,0.01996007984031935,3.9920159680638704e-05,filled,strategy
